Timestamp_MS,ISO_Time,Latitude,Longitude,Speed_MPH,Heading,Altitude_M,Accuracy_M,Battery_Pct
1789196365000,2026-09-12T06:59:25.000Z,37.7614513,-122.2340454,0,87.53033447265625,-23,8,43
1789196366000,2026-09-12T06:59:26.000Z,37.7614493,-122.2340461,0,89.98218536376953,-23,8,43
1789196368000,2026-09-12T06:59:28.000Z,37.7614517,-122.2340455,0,89.9963607788086,-23,8,43
1789196369000,2026-09-12T06:59:29.000Z,37.7614533,-122.2340449,0,358.8176574707031,-23,8,43
1789196370000,2026-09-12T06:59:30.000Z,37.7614552,-122.2340454,0,359.37152099609375,-23,8,43
1789196371000,2026-09-12T06:59:31.000Z,37.761456,-122.2340456,0,3.81731915473938,-23,8,43
1789196372000,2026-09-12T06:59:32.000Z,37.7614577,-122.2340455,0,354.2646484375,-23,8,43
1789196373000,2026-09-12T06:59:33.000Z,37.7614592,-122.2340452,0,351.3287658691406,-23.299999237060547,8,43
1789196374000,2026-09-12T06:59:34.000Z,37.7614601,-122.2340449,0,357.0701904296875,-23.299999237060547,8,43
1789196375000,2026-09-12T06:59:35.000Z,37.7614611,-122.2340444,0,356.537353515625,-23.299999237060547,8,43
1789196377000,2026-09-12T06:59:37.000Z,37.7614642,-122.2340438,0,346.7300720214844,-23.299999237060547,8,43
1789196378000,2026-09-12T06:59:38.000Z,37.761465,-122.2340439,0,344.7726135253906,-23.299999237060547,8,43
1789196379000,2026-09-12T06:59:39.000Z,37.7614654,-122.2340443,0,349.044677734375,-23.299999237060547,8,43
1789196380000,2026-09-12T06:59:40.000Z,37.7614634,-122.2340424,0,1.1952992677688599,-23.200000762939453,8,43
1789196381000,2026-09-12T06:59:41.000Z,37.761463,-122.2340417,0,4.995405197143555,-23.200000762939453,8,43
1789196382000,2026-09-12T06:59:42.000Z,37.761463,-122.234041,0,6.352458477020264,-23.200000762939453,8,43
1789196383000,2026-09-12T06:59:43.000Z,37.7614636,-122.2340405,0,6.26245641708374,-23.200000762939453,8,43
1789196384000,2026-09-12T06:59:44.000Z,37.7614646,-122.2340393,0,10.082940101623535,-23.200000762939453,8,43
1789196385000,2026-09-12T06:59:45.000Z,37.7614653,-122.2340387,0,14.832040786743164,-23.200000762939453,8,43
1789196386000,2026-09-12T06:59:46.000Z,37.7614661,-122.2340383,0,11.215413093566895,-23.200000762939453,8,43
1789196387000,2026-09-12T06:59:47.000Z,37.7614663,-122.2340382,0,22.554805755615234,-23.200000762939453,8,43
1789196388000,2026-09-12T06:59:48.000Z,37.7614617,-122.234039,0,42.305580139160156,-23.100000381469727,8,43
1789196389000,2026-09-12T06:59:49.000Z,37.7614602,-122.2340386,0,39.053192138671875,-23.100000381469727,8,43
1789196390000,2026-09-12T06:59:50.000Z,37.7614606,-122.2340382,0,35.98179626464844,-23.100000381469727,8,43
1789196391000,2026-09-12T06:59:51.000Z,37.7614616,-122.2340381,0,31.71613121032715,-23.100000381469727,8,43
1789196392000,2026-09-12T06:59:52.000Z,37.761462,-122.2340377,0,30.88673973083496,-23.100000381469727,8,43
1789196394000,2026-09-12T06:59:54.000Z,37.7614636,-122.2340375,0,89.48875427246094,-23.100000381469727,8,43
1789196395000,2026-09-12T06:59:55.000Z,37.7614592,-122.2340383,0,90.01911163330078,-23,8,43
1789196396000,2026-09-12T06:59:56.000Z,37.7614582,-122.2340383,0,90.00341033935547,-23,8,43
1789196398000,2026-09-12T06:59:58.000Z,37.7614594,-122.2340376,0,89.99815368652344,-23,8,43
1789196399000,2026-09-12T06:59:59.000Z,37.7614595,-122.2340375,0,89.99983978271484,-23,8,43
1789196400000,2026-09-12T07:00:00.000Z,37.7614603,-122.2340365,0,89.99745178222656,-23,8,43
1789196401000,2026-09-12T07:00:01.000Z,37.7614609,-122.2340363,0,89.99832153320312,-23,8,43
1789196402000,2026-09-12T07:00:02.000Z,37.7614614,-122.234036,0,89.9987564086914,-23,8,43
1789196403000,2026-09-12T07:00:03.000Z,37.7614552,-122.2340351,0,90.02110290527344,-23.100000381469727,8,43
1789196404000,2026-09-12T07:00:04.000Z,37.7614533,-122.234034,0,90.00727844238281,-23.100000381469727,8,43
1789196405000,2026-09-12T07:00:05.000Z,37.7614525,-122.2340336,0,90.0022201538086,-23.100000381469727,8,43
1789196407000,2026-09-12T07:00:07.000Z,37.7614533,-122.2340323,0,89.99848175048828,-23.100000381469727,8,43
1789196408000,2026-09-12T07:00:08.000Z,37.7614538,-122.2340318,0,73.7850570678711,-23.100000381469727,8,43
1789196409000,2026-09-12T07:00:09.000Z,37.7614547,-122.2340316,0,62.09514236450195,-23.100000381469727,8,43
1789196410000,2026-09-12T07:00:10.000Z,37.761455,-122.2340314,0,60.891258239746094,-23.200000762939453,8,43
1789196411000,2026-09-12T07:00:11.000Z,37.761452,-122.2340283,0,74.89883422851562,-23.200000762939453,8,43
1789196412000,2026-09-12T07:00:12.000Z,37.7614519,-122.2340276,0,72.24116516113281,-23.200000762939453,8,43
1789196413000,2026-09-12T07:00:13.000Z,37.7614524,-122.2340266,0,59.350868225097656,-23.200000762939453,8,43
1789196414000,2026-09-12T07:00:14.000Z,37.7614537,-122.2340261,0,49.489501953125,-23.200000762939453,8,43
1789196415000,2026-09-12T07:00:15.000Z,37.761455,-122.234026,0,39.249576568603516,-23.200000762939453,8,43
1789196416000,2026-09-12T07:00:16.000Z,37.7614563,-122.2340258,0,29.80906105041504,-23.200000762939453,8,43
1789196417000,2026-09-12T07:00:17.000Z,37.7614573,-122.2340259,0,19.18090057373047,-23,8,43
1789196419000,2026-09-12T07:00:19.000Z,37.7614506,-122.2340304,0,89.99333953857422,-23,8,43
1789196421000,2026-09-12T07:00:21.000Z,37.7614512,-122.2340298,0,89.99946594238281,-23,8,43
1789196422000,2026-09-12T07:00:22.000Z,37.7614526,-122.2340305,0,89.99632263183594,-23,8,43
1789196423000,2026-09-12T07:00:23.000Z,37.7614541,-122.234031,0,89.99615478515625,-23,8,43
1789196425000,2026-09-12T07:00:25.000Z,37.7614555,-122.2340311,0,89.99859619140625,-23.100000381469727,8,43
1789196426000,2026-09-12T07:00:26.000Z,37.7614557,-122.2340338,0,89.99845886230469,-23.100000381469727,8,43
1789196427000,2026-09-12T07:00:27.000Z,37.7614568,-122.2340344,0,89.99649047851562,-23.100000381469727,8,43
1789196428000,2026-09-12T07:00:28.000Z,37.7614574,-122.2340345,0,89.99832153320312,-23.100000381469727,8,43
1789196429000,2026-09-12T07:00:29.000Z,37.7614587,-122.2340352,0,89.99647521972656,-23.100000381469727,8,43
1789196430000,2026-09-12T07:00:30.000Z,37.7614596,-122.2340352,0,89.99739074707031,-23.100000381469727,8,43
1789196431000,2026-09-12T07:00:31.000Z,37.76146,-122.2340352,0,89.99917602539062,-23.100000381469727,8,43
1789196432000,2026-09-12T07:00:32.000Z,37.7614607,-122.2340349,0,89.99838256835938,-23.100000381469727,8,43
1789196434000,2026-09-12T07:00:34.000Z,37.7614597,-122.2340345,0,89.99937438964844,-23.200000762939453,8,43
1789196435000,2026-09-12T07:00:35.000Z,37.7614598,-122.2340346,0,89.99983978271484,-23.200000762939453,8,43
1789196436000,2026-09-12T07:00:36.000Z,37.761461,-122.2340357,0,89.9972152709961,-23.200000762939453,8,43
1789196437000,2026-09-12T07:00:37.000Z,37.7614614,-122.2340366,0,89.99878692626953,-23.200000762939453,8,43
1789196438000,2026-09-12T07:00:38.000Z,37.7614621,-122.2340373,0,89.99808502197266,-23.200000762939453,8,43
1789196439000,2026-09-12T07:00:39.000Z,37.7614624,-122.2340374,0,89.99925994873047,-23.200000762939453,8,43
1789196441000,2026-09-12T07:00:41.000Z,37.7614598,-122.2340367,0,90.00193786621094,-23.200000762939453,8,43
1789196442000,2026-09-12T07:00:42.000Z,37.7614597,-122.2340363,0,90.00021362304688,-23.200000762939453,8,43
1789196444000,2026-09-12T07:00:44.000Z,37.7614602,-122.2340358,0,89.99968719482422,-23.200000762939453,8,43
1789196445000,2026-09-12T07:00:45.000Z,37.7614614,-122.2340364,0,89.99610137939453,-23.200000762939453,7,43
1789196446000,2026-09-12T07:00:46.000Z,37.7614617,-122.2340366,0,89.99871826171875,-23.200000762939453,8,43
1789196447000,2026-09-12T07:00:47.000Z,37.7614621,-122.2340369,0,89.99842071533203,-23.200000762939453,8,43
1789196448000,2026-09-12T07:00:48.000Z,37.7614582,-122.2340418,0,89.09290313720703,-23.100000381469727,8,43
1789196449000,2026-09-12T07:00:49.000Z,37.7614566,-122.2340422,0,325.68743896484375,-23.100000381469727,8,43
1789196450000,2026-09-12T07:00:50.000Z,37.7614567,-122.2340433,0,319.5837707519531,-23.100000381469727,8,43
1789196451000,2026-09-12T07:00:51.000Z,37.7614573,-122.2340438,0,314.1950378417969,-23.100000381469727,8,43
1789196452000,2026-09-12T07:00:52.000Z,37.7614575,-122.2340445,0,307.1513977050781,-23.100000381469727,8,43
1789196453000,2026-09-12T07:00:53.000Z,37.7614577,-122.2340446,0,316.53399658203125,-23.100000381469727,8,43
1789196454000,2026-09-12T07:00:54.000Z,37.7614583,-122.2340444,0,313.1963195800781,-23.100000381469727,8,43
1789196455000,2026-09-12T07:00:55.000Z,37.7614555,-122.2340444,0,88.9374771118164,-23.200000762939453,8,43
1789196457000,2026-09-12T07:00:57.000Z,37.7614544,-122.2340426,0,89.99959564208984,-23.200000762939453,7,43
1789196458000,2026-09-12T07:00:58.000Z,37.7614548,-122.2340422,0,89.99884796142578,-23.200000762939453,7,43
1789196460000,2026-09-12T07:01:00.000Z,37.7614558,-122.2340417,0,89.9990005493164,-23.200000762939453,7,43
1789196461000,2026-09-12T07:01:01.000Z,37.7614567,-122.2340413,0,89.99732971191406,-23.200000762939453,7,43
1789196462000,2026-09-12T07:01:02.000Z,37.7614573,-122.2340408,0,27.491714477539062,-23.200000762939453,7,43
1789196463000,2026-09-12T07:01:03.000Z,37.7614566,-122.2340382,0,68.84037780761719,-23.200000762939453,7,43
1789196464000,2026-09-12T07:01:04.000Z,37.7614562,-122.2340365,0,73.39539337158203,-23.200000762939453,7,43
1789196465000,2026-09-12T07:01:05.000Z,37.7614562,-122.2340358,0,67.94844818115234,-23.200000762939453,7,43
1789196466000,2026-09-12T07:01:06.000Z,37.7614568,-122.2340344,0,76.03271484375,-23.200000762939453,7,43
1789196467000,2026-09-12T07:01:07.000Z,37.7614574,-122.2340334,0,67.46641540527344,-23.200000762939453,7,43
1789196468000,2026-09-12T07:01:08.000Z,37.7614579,-122.2340332,0,69.9864730834961,-23.200000762939453,7,43
